,Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Type,Amount,Month,Year
2393,2427,2015-09-17,Paintcollar,Designer Merchandize Marketplace,,Mumbai,Applyifi,Seed Funding,0.0,9,2015
2394,2428,2015-09-17,YepMe,Private label Fashion eTailer,,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,615.0,9,2015
2395,2429,2015-09-17,Bueno,Online Food ordering & delivery,,Gurgaon,High Networth Individuals,Seed Funding,4.92,9,2015
2396,2430,2015-09-18,Plabro,Real Estate Broker Platform App,,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,2.87,9,2015
2397,2431,2015-09-18,CureJoy,Online Health & Wellness platform,,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,9.43,9,2015
2398,2432,2015-09-18,Briston Technomach,Internet of Things platform,,New Delhi,Undisclosed,Seed Funding,1.23,9,2015
2399,2433,2015-09-18,LabStreet,Diagnostic Labs aggregator platform,,Gurgaon,Multiple investors,Seed Funding,1.23,9,2015
2400,2434,2015-09-19,DailyNinja,Hyperlocal Delivery Platform,,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,0.0,9,2015
2401,2435,2015-09-21,Portea Medical,Home Medical Care Services,,Bangalore,"Accel Partners, International Finance Corporation , Qualcomm Ventures, Ventureast",Private Equity,307.5,9,2015
2402,2436,2015-09-21,Neotrade Analytics,Real-Time stock data platform,,Bangalore,Rainmatter,Seed Funding,1.927,9,2015
2403,2437,2015-09-21,DishCo,Food discovery & table booking app,,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,0.0,9,2015
2404,2438,2015-09-21,LafaLafa,coupons and cashback aggregator app,,Mumbai,500 Startups,Seed Funding,1.025,9,2015
2405,2439,2015-09-21,ConnectAbank,Financial Products lead generation platform,,Mumbai,Prakhar Bumb,Seed Funding,0.0,9,2015
2406,2440,2015-09-22,VillFarm,Sustainable Agri-inputs Firm,,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,0.0,9,2015
2407,2441,2015-09-22,Bestdealfinance,Financial Services Portal,,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,24.6,9,2015
2408,2442,2015-09-22,GameXS.in,Pre-owned games Marketplace,,New Delhi,Lead Angels,Seed Funding,0.0,9,2015
2409,2443,2015-09-22,The Man Company,Content-based Subscription eCommerce platform,,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,0.0,9,2015
2410,2444,2015-09-22,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",,Bangalore,Swarnim Multiventures,Private Equity,6.56,9,2015
2411,2445,2015-09-22,Furdo,Online Interior Designing platform,,Bangalore,Bhavdeep Reddy,Seed Funding,3.28,9,2015
2412,2446,2015-09-22,LogiNext,End-to-end Logistics platform,,Mumbai,Paytm,Private Equity,82.0,9,2015
2413,2447,2015-09-22,Korra,Private Label Apparel sales,,New Delhi,Asha Jadeja Motwani,Seed Funding,2.46,9,2015
2414,2448,2015-09-23,Credihealth,Healthcare Consulting platform,,Gurgaon,Rajat Malhotra,Seed Funding,0.0,9,2015
2415,2449,2015-09-23,Amigobulls,Stock Market Portal,,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network",Seed Funding,0.0,9,2015
2416,2450,2015-09-23,SilverPush,Cross-device retargeting platform,,Gurgaon / SFO,M&S Partners,Private Equity,9.84,9,2015
2417,2451,2015-09-23,Juggernaut,Digital & Physical Publishing platform,,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,18.45,9,2015
2418,2452,2015-09-23,InnerChef,Food Delivery Platform,,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara",Private Equity,14.35,9,2015
2419,2453,2015-09-24,Quintype,Data Driven Publishing platform,,Bangalore,Raghav Bahl,Private Equity,27.06,9,2015
2420,2454,2015-09-24,Capabiliti,Employee OnBoarding & Orientation platform,,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,3.28,9,2015
2421,2455,2015-09-24,Fourth Partner Energy,Solar Power Solutions company,,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,16.4,9,2015
2422,2456,2015-09-24,Licious,Online Meat Ordering platform,,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,8.2,9,2015
2423,2457,2015-09-25,TravelKhana,online meal-booking platform for train travelers,,New Delhi,Astarc Ventures,Seed Funding,0.0,9,2015
2424,2458,2015-09-28,Quickli,hyperlocal delivery platform,,New Delhi,"500 Startups, Mato Peric",Seed Funding,0.0,9,2015
2425,2459,2015-09-28,Ola Cabs,Cab Booking app platform,,Bangalore,Didi Kuaidi,Private Equity,246.0,9,2015
2426,2460,2015-09-29,Paytm,E-Commerce & M-Commerce platform,,New Delhi,"Alibaba Group, Ant Financial",Private Equity,5576.0,9,2015
2427,2461,2015-09-29,Inmobi,Mobile Advertising platform,,Bangalore,Tennenbaum Capital Partners,Private Equity,820.0,9,2015
2428,2462,2015-09-29,Peppertap,Hyperlocal Grocery Delivery,,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,295.2,9,2015
2429,2463,2015-09-29,Hugefly,Ecommerce Product recommendation platform,,Pune,Mayank Singhal,Seed Funding,0.0,9,2015
2430,2464,2015-09-29,Brigge,Activity Based Social Network,,Chennai,The Chennai Angels,Seed Funding,0.0,9,2015
2431,2465,2015-09-29,Zakoopi,Fashion Discovery platform,,New Delhi,Uniqorn Ventures,Seed Funding,2.87,9,2015
2432,2466,2015-09-29,LoanCircle,Consumer lending marketplace,,Bangalore,"Zishaan Hayath, Rahul Khanna",Seed Funding,0.0,9,2015
2433,2467,2015-09-30,Infoworks,Big Data Management Platform,,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures",Private Equity,41.0,9,2015
2434,2468,2015-09-30,RedDoorz,Budget Accommodation Platform,,Noida,Jungle Ventures,Seed Funding,8.2,9,2015
2435,2469,2015-09-30,FirstTouch,Local Mobile OS,,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,0.0,9,2015
2436,2470,2015-09-30,Eywa Media,Digital Signal processing platform,,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,8.2,9,2015
2437,2471,2015-01-08,Snapdeal,Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,4100.0,1,2015
2438,2472,2015-01-08,Ressy,Restaurant Discount app,,Pune,Mohandas Pai,Seed Funding,3.28,1,2015
2439,2473,2015-03-08,Cuelearn,Tech-enabled learning,,New Delhi,Alok Mittal,Seed Funding,0.0,3,2015
2440,2474,2015-03-08,Connect India,ECommerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,41.0,3,2015
2441,2475,2015-03-08,The Home Salon,on-demand home beauty and wellness portal,,Mumbai,VentureNursery,Seed Funding,0.0,3,2015
2442,2476,2015-03-08,Jusride,Self Driven Car rental,,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,0.0,3,2015
2443,2477,2015-03-08,Oyorooms,Budget Hotel accommodation brand,,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,820.0,3,2015
2444,2478,2015-03-08,Glowship,Energy & Environment Online Marketplace,,Bangalore,Infuse Ventures,Seed Funding,0.0,3,2015
2445,2479,2015-03-08,Wizrocket,User Engagment & Analytics platform,,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,78.72,3,2015
2446,2480,2015-04-08,Pickingo,On-Demand Delivery Logistics,,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,10.66,4,2015
2447,2481,2015-05-08,Grex,fund raising platform for startups,,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,5.33,5,2015
2448,2482,2015-05-08,LetsTransport,Logistics Tech Platform,,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,10.66,5,2015
2449,2483,2015-05-08,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,246.0,5,2015
2450,2484,2015-05-08,Doormint,Hyperlocal Handyman services,,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,24.6,5,2015
2451,2485,2015-05-08,NightStay,hotel booking app,,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,4.1,5,2015
2452,2486,2015-05-08,Zocalo,Rental Accomodation finder,,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,0.0,5,2015
2453,2487,2015-05-08,Sunday Realty Solutions,Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,6.437,5,2015
2454,2488,2015-06-08,Klozee,Luxury Apparel rental,,Bangalore,Tracxn Labs,Seed Funding,0.0,6,2015
2455,2489,2015-06-08,Appvigil,App security\ testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,4.1,6,2015
2456,2490,2015-06-08,practo,Doctor Appointment booking app,,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,738.0,6,2015
2457,2491,2015-06-08,LoudShout,anonymous bulletin board app,,New Delhi,"Sanjay Sethi, Ravi Jaipuria",Seed Funding,0.0,6,2015
2458,2492,2015-06-08,Wetravelsolo,Travel community platform,,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,0.0,6,2015
2459,2493,2015-06-08,Ketto,Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,5.74,6,2015
2460,2494,2015-06-08,Ezetap,Mobile based PoS solution,,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,205.0,6,2015
2461,2495,2015-06-08,NDTV ecommerce venture,Car & Bike ecommerce platform,,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,0.0,6,2015
2462,2496,2015-07-08,Carlxe2x80x99s Jr,Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,5.166,7,2015
2463,2497,2015-07-08,EasyRewardz,Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,4.1,7,2015
2464,2498,2015-07-08,GIBSS,Energy saving solutions provider,,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,0.0,7,2015
2465,2499,2015-07-08,StoreMore.in,Self-Storage Spaces,,Noida,Bedrock Ventures,Seed Funding,0.0,7,2015
2466,2500,2015-07-08,iOrderFresh,Grocery retail Mobile app,,New Delhi,Best Foodworks,Seed Funding,0.0,7,2015
2467,2501,2015-10-08,MyTaxiIndia,Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,4.1,10,2015
2468,2502,2015-10-08,eSadar,ecommerce,,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,0.656,10,2015
2469,2503,2015-10-08,Actionable Analytics,Machine Learning Platform,,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,0.0,10,2015
2470,2504,2015-10-08,MyPoolin,mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,2.05,10,2015
2471,2505,2015-10-08,NearBuy (previously groupon India),Hyper-Local Ecommerce,,New Delhi,Sequoia Capital,Private Equity,131.2,10,2015
2472,2506,2015-10-08,Inkmonk,Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra from LetsVenture",Seed Funding,2.05,10,2015
2473,2507,2015-10-08,ToneTag,mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,8.2,10,2015
2474,2508,2015-10-08,Grey Orange,Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,246.0,10,2015
2475,2509,2015-11-08,Livspace,Home Design & Dcor solutions,,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,65.6,11,2015
2476,2510,2015-11-08,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,13.12,11,2015
2477,2511,2015-11-08,RainCan,Subscription based Online Grocery platform,,Pune,Ajeet Khurana,Seed Funding,0.82,11,2015
2478,2512,2015-11-08,Allygrow Technologies,engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,164.0,11,2015
2479,2513,2015-11-08,Infogain,Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,516.6,11,2015
2480,2514,2015-12-08,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,61.5,12,2015
2481,2515,2015-12-08,BigBasket,Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,410.0,12,2015
2482,2516,2015-12-08,Sheroes,Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Seed Funding,6.314,12,2015
2483,2517,2015-12-08,Scripbox,Mutual Fund Investing platform,,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,20.5,12,2015
2484,2518,2015-08-13,etaout,Ecommerce Marketing Software Platform,,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham",Seed Funding,4.1,8,2015
2485,2519,2015-08-13,IFMR Holdings,Financial Inclusion platform,,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,205.0,8,2015
2486,2520,2015-08-13,Massblurb,Digital Marketing automation solution,,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,0.0,8,2015
2487,2521,2015-08-13,Agrostar,Mobile Commerce for Farmers,,Pune,IDG Ventures,Private Equity,32.8,8,2015
2488,2522,2015-08-14,VoxWeb,Picture based Social App,,Mumbai,Jitendra Gupta,Seed Funding,0.82,8,2015
2489,2523,2015-08-14,Trukky,Logistics service platform,,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,2.009,8,2015
2490,2524,2015-08-14,VanityCube,On-Demand Beauty Services,,New Delhi,Group of angel investors,Seed Funding,0.0,8,2015
2491,2525,2015-08-17,Edu4Share,Exam Preparation Platform,,New Delhi,Nalin Jain  angel investors,Seed Funding,1.804,8,2015
2492,2526,2015-08-17,YourStory,Startup Focused Online Publisher,,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,0.0,8,2015
2493,2527,2015-08-17,Sampurnearth,Waste Management Solutions,,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,1.312,8,2015
2494,2528,2015-08-17,Orobind,App based Fitness coaching,,Bangalore,Existing & New Investors,Private Equity,0.0,8,2015
2495,2529,2015-08-17,Fixy,On demand cleaning & fixing services,,Mumbai,VentureNursery,Seed Funding,0.0,8,2015
2496,2530,2015-08-17,MSM Box,Beauty & Lifestyle platform,,New Delhi,Rohit Goel,Seed Funding,0.0,8,2015
2497,2531,2015-08-17,ShadowFax,on-demand delivery service,,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,2.542,8,2015
2498,2532,2015-08-17,Gadgets 360,Car & Bike ecommerce platform,,New Delhi,One97 Communications,Private Equity,0.0,8,2015
2499,2533,2015-08-18,Roposo,Fashion Discovery platform,,Gurgaon,Tiger Global,Private Equity,123.0,8,2015
2500,2534,2015-08-18,IntelligenceNODE,Data Analytics Platform,,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,34.44,8,2015
2501,2535,2015-08-18,HyperVerge,Deep Learning Cloud Algorithms,,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,8.2,8,2015
2502,2536,2015-08-18,Twyst,Location based engagement & rewards platform,,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,0.0,8,2015
2503,2537,2015-08-18,IDfy,Online Identity Verification Services platform,,Mumbai,"NEA, Blume Ventures",Private Equity,0.0,8,2015
2504,2538,2015-08-18,Zoojoo.be,Corporate Wellness App,,Bangalore,RoundGlass Partners,Private Equity,8.2,8,2015
2505,2539,2015-08-19,Fashionove,Fashion Search & Review Platform,,Kolkata,Umesh Yadav,Seed Funding,0.0,8,2015
2506,2540,2015-08-19,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",,Mumbai,Unilazer Ventures,Private Equity,19.68,8,2015
2507,2541,2015-08-19,Envoged,pre-owned Luxury online apparel seller,,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",Seed Funding,0.0,8,2015
2508,2542,2015-08-19,MebelKart,Online Furniture Marketplace,,Bangalore,AskMe,Private Equity,164.0,8,2015
2509,2543,2015-08-20,LabsAdvisor,Online Diagnostic Tests Marketplace,,New Delhi,Group of Angel Investors,Seed Funding,1.2792,8,2015
2510,2544,2015-08-20,Flatpebble,Online marketplace for Photographers,,Hyderabad,Indian Angel Network,Seed Funding,4.92,8,2015
2511,2545,2015-08-20,Bluegape,Visual Blogging platform,,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,4.92,8,2015
2512,2546,2015-08-21,ePoise,Job Search Platform,,Bangalore,"Orios Venture Partners, Amit Ranjan",Seed Funding,4.1,8,2015
2513,2547,2015-08-24,Jolly Food Fellow,Food Customer analytics platform,,Ahmedabad,The 1947,Seed Funding,2.46,8,2015
2514,2548,2015-08-24,BookMeIn,Professional Service Appointment booking service,,Mumbai,Ajmera Group of Companies,Seed Funding,3.28,8,2015
2515,2549,2015-08-24,iZofy,Scientific Horoscope Online Assistance platform,,Kolkata,Prime Capital Markets Ltd,Seed Funding,0.0,8,2015
2516,2550,2015-08-24,rBus,Tech enabled AC bus service,,Mumbai,"India Quotient, Anupam Mittal",Seed Funding,0.0,8,2015
2517,2551,2015-08-25,Qyk App,On-Demand App based Professional service provider,,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,8.2,8,2015
2518,2552,2015-08-25,EazyDiner,Restaurant Reservation Platform,,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,24.6,8,2015
2519,2553,2015-08-25,RevX,Cross-channel CRM platform,,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,32.8,8,2015
2520,2554,2015-08-25,ICustomMadeIt,Professional Custom creators Marketplace,,Pune,Group of Angel Investors,Seed Funding,2.05,8,2015
2521,2555,2015-08-26,PickMyLaundry,on-Demand Washing & Dry-Cleaning,,New Delhi,GHV Accelerator,Seed Funding,0.82,8,2015
2522,2556,2015-08-26,Belita,On-Demand Beauty Service,,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,3.28,8,2015
2523,2557,2015-08-26,EzySolare,solar products and services marketplace,,Ahmedabad,Infuse Ventures,Seed Funding,0.0,8,2015
2524,2558,2015-08-26,FoodTalkIndia,Online Food Community Platform,,Gurgaon,Undisclosed Investor,Seed Funding,4.1,8,2015
2525,2559,2015-08-27,InstaSafe,Private Cloud Networks SAAS platform,,Bangalore,Group of Investors,Seed Funding,0.0,8,2015
2526,2560,2015-08-27,Eazy Coach,Education Marketplace,,Kolkata,Ravi Agarwal,Seed Funding,0.0,8,2015
2527,2561,2015-08-27,Djubo,Cloud Based Hotel Sales Platform,,New Delhi,Ibibo Group,Private Equity,0.0,8,2015
2528,2562,2015-08-28,BetterButter.in,online recipe sharing platform,,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,0.0,8,2015
2529,2563,2015-08-28,Vyomo,Beauty & Lifestyle Mobile Marketplace,,Bangalore,Rocket Internet,Private Equity,16.4,8,2015
2530,2564,2015-08-28,RollMafia,QSR Restaurant Chain,,Pune,Equentia Natural Resources,Seed Funding,1.312,8,2015
2531,2565,2015-08-29,iamwire,Digital Media publishing platform,,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,0.0,8,2015
2532,2566,2015-08-31,DropKaffe,Online Coffee Delivery platform,,Bangalore,"Manish Singhal, P39 Capital",Seed Funding,2.46,8,2015
2533,2567,2015-08-31,Reverie,Language Localization Cloud platform,,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,32.8,8,2015
2534,2568,2015-08-31,Infinite Analytics,Big Data & predictive Analysis Platform,,Mumbai,"Ratan Tata, Nikhil Vora",Private Equity,0.0,8,2015
2535,2569,2015-01-07,Parcelled,Online Logistics Platform,,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,0.0,1,2015
2536,2570,2015-01-07,Retigence Technologies,Business IT Intelligence Services,,Mumbai,Omnivore Partners,Private Equity,0.0,1,2015
2537,2571,2015-01-07,Cloudcherry Analytics,CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,8.2,1,2015
2538,2573,2015-01-07,iDreamCareer,Ed-Tech Platform,,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand",Seed Funding,0.0,1,2015
2539,2574,2015-01-07,Ola Cabs,Cab rental Mobile app,,Bangalore,Ratan Tata,Private Equity,0.0,1,2015
2540,2575,2015-01-07,NxtGen,IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,110.7,1,2015
2541,2576,2015-02-07,BankBazaar,Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,492.0,2,2015
2542,2577,2015-02-07,Gozoomo,Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,41.0,2,2015
2543,2578,2015-02-07,Zenatix,Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,1.3202,2,2015
2544,2579,2015-03-07,CultureAlley,Language Learning App,,Jaipur,Tiger Global,Private Equity,53.3,3,2015
2545,2580,2015-03-07,Goqii,Mobile Fitness Marketplace,,Mumbai,Vijay Shekhar Sharma,Private Equity,0.0,3,2015
2546,2581,2015-03-07,Gingercrush,Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,8.2,3,2015
2547,2582,2015-04-07,Elanic,P2P Pre-owned goods marketplace,,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,0.0,4,2015
2548,2583,2015-04-07,Stitchwood,Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana",Seed Funding,3.239,4,2015
2549,2584,2015-05-07,Urban Tailor,Online Tailoring Services,,Bangalore,Group of angel investors,Seed Funding,0.0,5,2015
2550,2585,2015-06-07,ConfirmtTkt,Rail Ticket Confirmation predictor,,Bangalore,Pravin Agarwala,Seed Funding,0.0,6,2015
2551,2586,2015-06-07,Paper Boat,Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,246.0,6,2015
2552,2587,2015-06-07,getNow,Hyperlocal Goods marketplace,,Nagpur,Atulya Mittal,Seed Funding,0.0,6,2015
2553,2588,2015-07-07,Wudstay,Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,24.6,7,2015
2554,2589,2015-07-07,Liases Foras,Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,41.0,7,2015
2555,2590,2015-07-07,Eatlo,Food Delivery platform,,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,0.0,7,2015
2556,2591,2015-07-07,IndiaLends,Financial Tech,,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,0.0,7,2015
2557,2592,2015-08-07,Quinto,Food Discovery App,,Pune,Jaydeep Barman,Seed Funding,0.0,8,2015
2558,2593,2015-08-07,Saavn,Music Streaming App,,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,820.0,8,2015
2559,2594,2015-08-07,Flytxt,Big Data & Analytics platform,,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,90.2,8,2015
2560,2595,2015-08-07,Axtria,Big Data & Analytics platform,,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,246.0,8,2015
2561,2596,2015-08-07,33Coupons,Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,0.164,8,2015
2562,2597,2015-08-07,Ampere,Electric Scooter manufacturer,,Coimbatore,Ratan Tata,Seed Funding,0.0,8,2015
2563,2598,2015-08-07,Hopping Chef,Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,3.854,8,2015
2564,2599,2015-08-07,Collectabillia,Celebrity Fashion Brand,,Bangalore,Accel Partners,Private Equity,61.5,8,2015
2565,2600,2015-08-07,Lendingkart,Online Finance lending platform,,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,82.0,8,2015
2566,2601,2015-08-07,Lybrate,Healthcare Mobile App,,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,83.64,8,2015
2567,2602,2015-08-07,Zoomcar,Self-driven vehicle rental,,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,90.2,8,2015
2568,2613,2015-07-14,MySmartPrice,Online comparison engine,,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,82.0,7,2015
2569,2615,2015-07-14,Boxmyspace,Physical Storage warehouses,,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,2.46,7,2015
2570,2616,2015-07-14,HackerRank,Tech Recruitment platform,,Bangalore,HR Technology fund,Private Equity,61.5,7,2015
2571,2617,2015-07-14,WickedRide,Bike Rental Platform,,Bangalore,Undisclosed,Seed Funding,6.478,7,2015
2572,2618,2015-07-14,WoWexpress,Tech enabled logistics platform,,Mumbai,Tamarind Family Private Trust,Seed Funding,4.1,7,2015
2573,2619,2015-07-15,Oyo Rooms,Budget Hotel Accommodation,,Gurgaon,"Softbank, Sequoia Capital",Private Equity,820.0,7,2015
2574,2620,2015-07-15,Mobikon,Restaurant customer engagement platform,,Pune,Jungle Ventures,Private Equity,18.86,7,2015
2575,2621,2015-07-15,InstaLively,Live video streaming app,,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,0.0,7,2015
2576,2622,2015-07-15,Roadrunnr,Hyper local logistics platform,,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,90.2,7,2015
2577,2623,2015-07-16,Ketto,Crowd Funding Platform,,Mumbai,"Pradyumna Dalmia, Sudhir Rao",Seed Funding,5.74,7,2015
2578,2624,2015-07-17,QuikWallet,F&B sector Mobile Payment platform,,Mumbai,Snow Leopard Technology Ventures,Private Equity,13.12,7,2015
2579,2625,2015-07-17,Omnikart,Industrial Supplies B2B ecommerce,,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,0.82,7,2015
2580,2626,2015-07-20,Zo Rooms,Online budget hotel chain,,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,123.0,7,2015
